Номер группы: 2120, Дата: 17-05-2024, Id группы: 8, Id предмета: 10, Случайное число: 1
Номер группы: 2120, Дата: 17-05-2024, Id группы: 8, Id предмета: 10, Случайное число: 2
Номер группы: 2120, Дата: 17-05-2024, Id группы: 8, Id предмета: 10, Случайное число: 3
Номер группы: 2120, Дата: 17-05-2024, Id группы: 8, Id предмета: 10, Случайное число: 4
Номер группы: 2120, Дата: 17-05-2024, Id группы: 8, Id предмета: 10, Случайное число: 1
Номер группы: 2120, Дата: 17-05-2024, Id группы: 8, Id предмета: 10, Случайное число: 2
Номер группы: 2120, Дата: 17-05-2024, Id группы: 8, Id предмета: 10, Случайное число: 3
Номер группы: 2120, Дата: 17-05-2024, Id группы: 8, Id предмета: 10, Случайное число: 4
Номер группы: 2120, Дата: 17-05-2024, Id группы: 10, Id предмета: 12, Случайное число: 1
Номер группы: 2120, Дата: 17-05-2024, Id группы: 10, Id предмета: 12, Случайное число: 2
Номер группы: 2120, Дата: 17-05-2024, Id группы: 10, Id предмета: 12, Случайное число: 3
Номер группы: 2120, Дата: 17-05-2024, Id группы: 10, Id предмета: 12, Случайное число: 4
Номер группы: 2120, Дата: 17-05-2024, Id группы: 10, Id предмета: 12, Случайное число: 1
Номер группы: 2120, Дата: 17-05-2024, Id группы: 10, Id предмета: 12, Случайное число: 2
Номер группы: 2120, Дата: 17-05-2024, Id группы: 10, Id предмета: 12, Случайное число: 3
Номер группы: 2120, Дата: 17-05-2024, Id группы: 10, Id предмета: 12, Случайное число: 4
Номер группы: 2120, Дата: 17-05-2024, Id группы: 11, Id предмета: 13, Случайное число: 1
Номер группы: 2120, Дата: 17-05-2024, Id группы: 11, Id предмета: 15, Случайное число: 2
Номер группы: 2120, Дата: 17-05-2024, Id группы: 11, Id предмета: 15, Случайное число: 3
Номер группы: 2120, Дата: 17-05-2024, Id группы: 11, Id предмета: 15, Случайное число: 4
Номер группы: 2120, Дата: 17-05-2024, Id группы: 11, Id предмета: 13, Случайное число: 1
Номер группы: 2120, Дата: 17-05-2024, Id группы: 11, Id предмета: 14, Случайное число: 2
Номер группы: 2120, Дата: 17-05-2024, Id группы: 11, Id предмета: 13, Случайное число: 3
Номер группы: 2120, Дата: 17-05-2024, Id группы: 11, Id предмета: 15, Случайное число: 4
Номер группы: 2121, Дата: 17-05-2024, Id группы: 12, Id предмета: 17, Случайное число: 1
Номер группы: 2121, Дата: 17-05-2024, Id группы: 12, Id предмета: 16, Случайное число: 2
Номер группы: 2121, Дата: 17-05-2024, Id группы: 12, Id предмета: 17, Случайное число: 3
Номер группы: 2121, Дата: 17-05-2024, Id группы: 12, Id предмета: 16, Случайное число: 4
Номер группы: 2120, Дата: 17-05-2024, Id группы: 11, Id предмета: 13, Случайное число: 1
Номер группы: 2120, Дата: 17-05-2024, Id группы: 11, Id предмета: 14, Случайное число: 2
Номер группы: 2120, Дата: 17-05-2024, Id группы: 11, Id предмета: 15, Случайное число: 3
Номер группы: 2120, Дата: 17-05-2024, Id группы: 11, Id предмета: 15, Случайное число: 4
Номер группы: 2121, Дата: 17-05-2024, Id группы: 12, Id предмета: 16, Случайное число: 1
Номер группы: 2121, Дата: 17-05-2024, Id группы: 12, Id предмета: 16, Случайное число: 2
Номер группы: 2121, Дата: 17-05-2024, Id группы: 12, Id предмета: 16, Случайное число: 3
Номер группы: 2121, Дата: 17-05-2024, Id группы: 12, Id предмета: 18, Случайное число: 4
Номер группы: 2120, Дата: 17-05-2024, Id группы: 13, Id предмета: 20, Случайное число: 1
Номер группы: 2120, Дата: 17-05-2024, Id группы: 13, Id предмета: 21, Случайное число: 2
Номер группы: 2120, Дата: 17-05-2024, Id группы: 13, Id предмета: 20, Случайное число: 3
Номер группы: 2120, Дата: 17-05-2024, Id группы: 13, Id предмета: 21, Случайное число: 4
Номер группы: 2121, Дата: 17-05-2024, Id группы: 14, Id предмета: 22, Случайное число: 1
Номер группы: 2121, Дата: 17-05-2024, Id группы: 14, Id предмета: 22, Случайное число: 2
Номер группы: 2121, Дата: 17-05-2024, Id группы: 14, Id предмета: 22, Случайное число: 3
Номер группы: 2121, Дата: 17-05-2024, Id группы: 14, Id предмета: 22, Случайное число: 4
